"method","N","M","P","execution_time","work_performed"
"dijkstra","154","329","1","162.8763639033203","185.61938051757812"
"dijkstra","152","380","1","172.23054545214845","192.35354587304687"
"dijkstra","50","98","1","5.726605600097656","6.598977538085937"
"dijkstra","148","316","1","143.27449809472657","157.40515687890624"
"dijkstra","106","217","1","54.01596045507812","61.37353951660156"
"dijkstra","164","361","1","194.18794898144532","212.62669909960937"
"dijkstra","66","163","1","14.611196994628907","16.6473512578125"
"dijkstra","42","76","1","3.335094023925781","3.860310423828125"
"dijkstra","103","194","1","52.410137169921875","59.96501803808594"
"dijkstra","51","109","1","7.504061432128906","8.816539174804687"
"dijkstra","32","58","1","1.4888316569824218","1.7825512275390625"
"dijkstra","73","134","1","18.822379908691406","21.604170517578126"
"dijkstra","130","277","1","94.89427360498047","108.11554444824219"
"dijkstra","101","189","1","49.95969860546875","57.24751852832031"
"dijkstra","26","47","1","0.824081888671875","0.9939681369628907"
"dijkstra","37","68","1","2.044116091796875","2.4200422944335935"
"dijkstra","159","348","1","175.44295225976563","192.231090734375"
"dijkstra","105","310","1","55.767096549804684","61.095452208984376"
"dijkstra","28","50","1","1.2075868276367188","1.435632373046875"
"dijkstra","110","279","1","66.16384440234376","74.80960011035157"
"dijkstra","89","184","1","32.761111407226565","36.66631665429688"
"dijkstra","155","338","1","164.99257003027344","181.03937255078125"
"dijkstra","118","222","1","74.46608174902343","84.97457585058594"
"dijkstra","103","194","1","52.39004595214844","59.9616984453125"
"dijkstra","40","73","1","2.7709475354003907","3.2951234260253908"
"dijkstra","101","297","1","49.757822124023434","54.60758655175781"
"dijkstra","114","338","1","71.00093403613282","77.62948174121094"
"dijkstra","138","298","1","120.7442370625","136.0550734472656"
"dijkstra","52","103","1","6.355623552246094","7.305264333496094"
"dijkstra","70","141","1","16.364317453125","18.594548962402342"
"dijkstra","51","109","1","7.527643307617187","8.8435036015625"
"dijkstra","94","243","1","41.18284021191406","46.38255528613281"
"dijkstra","105","197","1","55.05926001269531","62.93043695898437"
"dijkstra","137","293","1","113.35109258300781","124.82185202148437"
"dijkstra","165","363","1","196.93738159179688","215.44729061035156"
"dijkstra","65","161","1","14.011684963378906","15.981614404296876"
"dijkstra","141","300","1","121.48873534375","133.71915987207032"
"dijkstra","192","480","1","321.10939814453127","356.23296109765624"
"dijkstra","47","118","1","5.594251950683594","6.4307044892578125"
"dijkstra","35","74","1","2.510058813720703","2.9701272739257814"
"dijkstra","76","216","1","21.80685576171875","24.2444621328125"
"dijkstra","24","42","1","0.6454042692871094","0.7661807353515625"
"dijkstra","67","121","1","14.041889999023438","16.130811389648436"
"dijkstra","168","416","1","224.1966911767578","250.196268265625"
"dijkstra","58","162","1","9.97800504736328","11.205782181640625"
"dijkstra","124","264","1","84.19232250488281","93.08213951757813"
"dijkstra","145","361","1","149.74066513671875","167.3242405234375"
"dijkstra","123","308","1","90.02971426464843","101.4242090283203"
"dijkstra","72","141","1","19.12802579638672","22.157259846679686"
